White,Black,WhiteElo,BlackElo,Result,ECO,Opening,TimeControl,Termination,Moves,Event,white_rating,black_rating,rating_diff,rated,opening_ply,ResultEncoded
clayt,Moltini,2153,2176,1-0,A49,"Indian Game: King's Indian Variation, Fianchetto Variation",300+0,Time forfeit,d4 Nf6 c4 g6 g3 Bg7 Bg2 O-O Nc3 d6 Nf3 c6 O-O Nbd7 e4 e5 Re1 Qc7 h3 a6 Be3 b5 dxe5 dxe5 c5 Nc8 Red1 Ne7 Qd6 Qxc7 Rxc7 Nxe4 Bxe5 Rac1 Nf5 Nxh6 Ng5 Bf5 Bxe4 Bxe4 Re8 Bf3 Nf5 Re2+ Kf1 Rxa1 Nxb3 Rxa6 Rxc6 Rxf6 b4 Bd5 Re7 Rb6 Kg7 Bc4 Kg2 Nb2 Rxb4 Re4 Rxb2 Rxc4 Rb6 Rc3 Kh3 h6 Kg4 Rd3 Ra6 Rc3 Rd6 Rb3 Rc6 Ra3 h5 gxh5+ Kh4 Rf3 Rc5 Kg6 Rc6+ f6 Rc5 Rf1 f5+ Kg7 Rc7+ Kf8 Kxh5 Rxf5+ Kg6 Rf3 g4 Rf4 Kh5 f5 gxf5 Rxf5+ Kg6 Ra5 Kxh6 Ra6+ Kg5 Ra5+ Kf6 Ra6+ Ke5 Ra5+ Kd6 Ra6+ Kd7 Rf6 Rc8+ Kg7 Rc2 Rf7+ Ke6 Rf6+ Ke5 Rg6 Rf2 Rg5+ Kf4 Rg6 Ra2 Rf6+ Ke5 Rg6 Ra7+ Kh6 Ra8 Rg5+ Ke4 Rg4+ Kf3 Rg7 Ra6+ Kh7 Ra1 Rf7+ Ke4 Kg6 Kd5 Rf5+ Ke4 Rf6 Rg1+ Kf7 Rh1 Re6+ Kd5 Rh7+ Kf6 Rh6+ Kg7 Rxe6,Rated Blitz tournament https://lichess.org/tournament/summer15,2153,2176,-23,1,6.0,2
pawnzRtasty,neochris,1644,1487,1-0,C50,Italian Game,720+0,Normal,e4 e5 Nf3 Nc6 Bc4 d6 O-O Be6 Bb5 Bd7 c3 a6 Ba4 b5 Bc2 Nf6 d4 exd4 cxd4 g6 e5 dxe5 Nxe5 Nxe5 Re1 Bc6 Rxe5+ Be7 Bg5 O-O Qe1 Bd6 Bxf6 Qxf6 Re3 Qh4 Rh3 Qg4 Qf1 Qxd4 Nc3 Rfe8 Rd1 Qe5 Bb3 Bd7 f4 Qf5 Ne2 Qc5+ Qf2 Qxf2+ Kxf2 Bxh3 gxh3 Re7 Nc3 Rae8 Rd3 Kg7 Kf3 Re1 Nd5 Rh1 Ne3 Rxh2 Kg3 Rxb2 Kf3 Rh2 Kg3 Bxf4+ Kxf4 Rxh3 Bd5 c5 Bf3 g5+ Kg4 Rh2 Kxg5 Rxa2 Nf5+ Kf8 Bc6 Rc8 Kf6 c4 Rd7 c3 Rxf7+ Kg8 Ne7+ Kh8 Nxc8 Kg8 Ne7+ Kh8 Rf8#,Rated Classical game,1644,1487,157,1,4.0,2
jmorgan1357,Zelma,1465,2052,0-1,B06,Modern Defense,60+0,Time forfeit,e4 g6 Nf3 Bg7 c3 c5 d4 cxd4 cxd4 d5 exd5 Qa5+ Nc3 Qxd5 Bb5+ Qd7 Bxd7+ Bxd7 Ne5 Bxe5 dxe5 e6 O-O Ne7 Re1 Nbc6 Bg5 Rd8 Bxe7 Nxe7 Qc2 Nf5 Ne4 Ke7 Qc5+ Nd6 Nxd6 Rc8 Nf5+ Kd8 Qxc8+ Bxc8 Rac1 Bd7 Red1 Ke8 Nd6+ Ke7 Nxb7 Rb8 Nc5 Bc6 Ne4 Bxe4 Rc7+ Ke8 Rdc1 Rxb2 f3 Bb7 a4 a5 g4 Kd8 R7c2 Rxc2 Rxc2 Bd5 Rd2 Kc7 Kg2 Kb6 Kg3 Kc5 h4 Kb4 h5 Kxa4 hxg6 hxg6 g5 Kb4 Kf4 Kc3 Rf2 a4 Ra2 Kb3 Rb2+ Kxb2 Kg3 a3 Kh4 a2 Kh3 a1=Q Kg2 Qg1+,Rated Bullet tournament https://lichess.org/tournament/echqh2Jm,1465,2052,-587,1,10.0,0
Ziltoid,MoiRon,2001,1806,1-0,B00,Owen Defense,300+0,Normal,e4 b6 Nc3 Bb7 d4 e6 Bd3 Bb4 Qe2 Ne7 Nf3 Bxc3+ bxc3 O-O O-O f5 Bg5 h6 Bxe7 Qxe7 exf5 Bxf3 Qxf3 Nc6 Rae1 Qf6 fxe6 Qxf3 gxf3 Rfe8 exd7 Rxe1 Rxe1 Rd8 Bb5 Nb8 Re8+,Rated Blitz tournament https://lichess.org/tournament/summer15,2001,1806,195,1,6.0,2
ZePequeno,leaderpricebiomuesli,2069,1749,1-0,C47,Four Knights Game: Scotch Variation Accepted,60+0,Time forfeit,e4 e5 Nf3 Nc6 Nc3 Nf6 d4 exd4 Nxd4 Bb4 Nxc6 bxc6 Bd3 O-O O-O h6 Qf3 Re8 h3 d6 Re1 Bb7 Bd2 c5 a3 Bxc3 Bxc3 Qe7 e5 Bxf3 exf6 Qd7 gxf3 gxf6 Kh2 Re6 Rg1+ Kf8 Bf5 d5 Bxe6 fxe6 Bxf6 Qd6+ Kh1 Kf7 Bh4 Rg8 Bg3 e5 Rae1 Qf6 Kg2 e4 fxe4 d4 e5 Qe6 Kh2 h5 Re4 h4 Rxh4 Rg6 Rf4+ Ke8 Rh4 Kd7 Rh7+ Kc6 Rh8 Rh6 Rxh6 Qxh6 e6 Qd2 e7 Qe2 e8=Q+ Qxe8 c4 Qe2 b4 Qb2 b5+,Rated Bullet tournament https://lichess.org/tournament/echqh2Jm,2069,1749,320,1,6.0,2
ChickenBrad,YAYALOULOU,1722,1374,1-0,C33,"King's Gambit Accepted, Bishop's Gambit, Bogoljubov Defense",300+0,Normal,e4 e5 Nc3 Nf6 Bc4 c6 f4 exf4 e5 Nd5 Nxd5 cxd5 Bxd5 Be7 Nf3 Nc6 d4 d6 Bxf4 dxe5 dxe5 O-O O-O Nb4 Bb3 Qxd1 Raxd1 Nc6 Ng5 h6 Ne4 Bf5 Nd6 Bxd6 exd6 Rad8 Bxh6 gxh6 Rxf5 Rfe8 Bxf7+,Rated Blitz tournament https://lichess.org/tournament/summer15,1722,1374,348,1,6.0,2
TEMPOchess,Gianca12,1700,1700,1-0,A10,English Opening: Great Snake Variation,480+0,Normal,c4 g6 d4 d5 e3 dxc4 Bxc4 Bg7 Qf3 e6 Nc3 Nc6 a3 Bd7 Nge2 Na5 Ba2 Bc6 d5 exd5 Nxd5 Nf6 Nxf6+ Bxf6 Qg3 O-O O-O Re8 Nd4 Bxd4 exd4 Qxd4 Qxc7 Qe4 f3 Qe5 Qxf7+ Kh8 Bd2 Qd4+ Rf2 Qxb2 Rb1 Rf8 Rxb2 Rxf7 Bc3+ Kg8 Bxf7+ Kxf7 Bxa5 b6 Bc3 Rd8 Rbd2 Re8 Rfe2 Bb5 Rxe8 Kxe8 g4 Kf7 h4 Ke6 Kg2 a5 Rb2 Ba6 Rxb6+ Kd5 Rxa6 Kc4 Bg7 Kb3 Rxa5 Ka2 h5,Rated Classical game,1700,1700,0,1,10.0,2
Khaled_ho,itsmagic,1898,2020,0-1,B84,"Sicilian Defense: Scheveningen Variation, Classical Variation #2",300+5,Normal,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Be2 e6 O-O Qc7 Kh1 b5 a3 Bb7 f3 Nbd7 Bg5 d5 exd5 Nxd5 Nxd5 Bxd5 c4 bxc4 Rc1 Nb6 b3 c3 Re1 Bxa3 Rc2 Bd6 Bc4 Nxc4 bxc4 Qxc4 Nf5 Bf8 Ne3 Qb3 Nxd5 Rc8 Nxc3 Bb4 Bd2 O-O Qb1 Qxb1 Rxb1 a5 Rbc1 Ba3 Ra1 Bb4 Raa2 Rfd8 Ne4 Bxd2 Rxc8 Rxc8 g4 Bb4 Kg2 f6 h4 Kf7 f4 Ke7 h5 g6 hxg6 hxg6 Re2 Kf7 g5 Be7 gxf6 Bb4 Kf3 Rc6 Kg4 Rb6 Rc2 Rb7 Rc6 a4 Ra6 a3 Kg5 Rb5+ Kg4 Ra5 Ng5+ Kxf6 Rxe6+ Kg7 Rb6 a2 Rxb4 a1=Q Rb7+ Kf8 Ne6+ Ke8 Ng7+ Kd8 Ne6+ Kc8 Rc7+ Kb8 Rg7 Qg1+ Kf3 Ra3+ Ke4 Qe3+ Kd5 Ra5+ Kd6 Ra6+ Ke7 Qxe6+ Kf8 Qc8+ Kf7 Ra7+ Kxg6 Qg4+ Kf6 Qxg7+ Kf5 Qf7+ Ke4 Ra4+ Kd3 Qxf4,Rated Classical game,1898,2020,-122,1,10.0,0
inadaptado,STXe4,1957,1785,1-0,B01,Scandinavian Defense,60+0,Normal,e4 d5 e5 Bf5 Nf3 e6 Nd4 c5 Nxf5 exf5 Bb5+ Nc6 O-O Qb6 Nc3 a6 Ba4 d4 Nd5 Qd8 Qf3 Ne7 Nf4 b5 e6 f6 Qh5+ g6 Qf3 b4 Bxc6+ Nxc6 Qxc6+ Ke7 Nd5+ Qxd5 Qxd5 Rd8 Qxc5+ Kxe6 Qc4+ Ke7 d3 Kd7 Re1 Rc8 Qxa6 Bd6 Bd2 Rc7 a3 Rhc8 Bxb4 Rc6 Qb7+ R8c7 Qb8 Rc8 Qb7+ R8c7 Qb5 Bxb4 axb4 Kd6 Ra6 Rxa6 Qxa6+ Rc6 b5 Rxa6 bxa6 Kc7 Ra1 Kb6 c3 dxc3 bxc3 Kc5 d4+ Kc4 a7 Kxc3 a8=Q Kxd4 Qc8 Ke5 Rd1 Kf4 Qe8 Kg5 Qe3+ f4 Qe4 f5 Rd5 Kg4 Qe7 g5 h3+ Kh4 Qxh7#,Rated Bullet tournament https://lichess.org/tournament/gGowJPJ9,1957,1785,172,1,6.0,2
JUANKARODA,Vladislav86,1504,1485,0-1,B06,Modern Defense,480+0,Normal,e4 g6 Nf3 Bg7 e5 e6 d4 Nc6 Bb5 a6 Bxc6 dxc6 Bg5 Ne7 O-O O-O Qd2 Bh8 Qb4 Re8 Nc3 Qd7 Ne4 Nd5 Qd2 f5 exf6 Qf7 Ne5 Nxf6 Nxf7 Kxf7 Nxf6 Bxf6 Qf4 Kg8 Bxf6 Rf8 Qg5 Rf7 Rfe1 Bd7 c3 Raf8 Be5 Rxf2 Bg3 R2f5 Qh6 c5 Bxc7 Bc6 Be5 R8f7 dxc5 Rf2 Bg3 Rxg2+ Kh1 Rxg3+ Re4 Bxe4#,Rated Classical game,1504,1485,19,1,10.0,0
