White,Black,WhiteElo,BlackElo,Result,ECO,Opening,TimeControl,Termination,Moves,Event,white_rating,black_rating,rating_diff,rated,opening_ply,ResultEncoded
Abd0,Dxf7,1467,1602,0-1,B20,Sicilian Defense: Bowdler Attack,60+0,Time forfeit,e4 c5 Bc4 e6 f4 d6 Nf3 a6 e5 b5 Be2 d5 d4 c4 b3 g6 bxc4 bxc4 Nc3 Bg7 O-O Ne7 Ba3 O-O Bd6 Nbc6 Ng5 Nf5 Bxf8 Bxf8 Nf3 Ne3 Qd2 Nxf1 Rxf1 Bb4 Qe3 Qa5 Nd1 Qxa2 c3 Bf8 Ng5 Qa5 Qh3 h5 Bxh5 gxh5 Qxh5 Bg7 Qh7+ Kf8 Nxf7 Kxf7 Qh5+ Kf8 Rf3 Qd8,Rated Bullet game,1467,1602,-135,1,6.0,0
Bobxadrez,RadovanSuput,1403,1715,0-1,B06,Robatsch (Modern) Defense,240+0,Normal,e4 g6 d4 Bg7 Nf3 d6 Bc4 Nf6 Qd3 O-O Qb3 Nxe4 Ng5 e6 Nxe4 d5 Nc5 dxc4 Qxc4 b6 Nb3 Ba6 Qc3 c5 Qf3 Nd7 N1d2 cxd4 Qg3 Nc5 Nxc5 bxc5 Nb3 Qd5 Nd2 Rad8 Nf3 Qe4+ Be3 dxe3 Ng5 exf2+ Kxf2 Qe2+ Kg1 Bd4+,Rated Blitz game,1403,1715,-312,1,10.0,0
rubenpinus,JackBauer,1990,2016,1-0,B70,Sicilian Defense: Dragon Variation,180+2,Normal,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Bc4 a6 Bb3 b5 a4 b4 Nd5 Nxe4 Qf3 f5 Nf4 Bb7 Nfe6 Qb6 O-O Nc6 Nxc6 Qxc6 a5 Rc8 Ba4,Rated Blitz game,1990,2016,-26,1,10.0,2
Ivan99e,abhay101,1399,1578,0-1,B06,Modern Defense: Two Knights Variation,60+0,Time forfeit,e4 g6 Nc3 Bg7 Nf3 d6 d4 Bd7 Bb5 Nc6 Bxc6 Bxc6 d5 Bd7 Bf4 a5 O-O b5 a4 b4 Ne2 Bxb2 Rb1 Bg7 c3 f5 cxb4 fxe4 Ng5 Bf5 f3 exf3 Rxf3 Bxb1 Qxb1 Nf6 bxa5 Rxa5 Ne6 Qa8 Nxc7+ Kf7 Nxa8 Raxa8 Bg5 h6 Bxf6 Bxf6 Qb2 Rhb8 Qc3 Rxa4 Nd4 Kg7 Ne6+ Kh7 Nf8+ Kg8 Qb3 Kxf8 Qxb8+ Kf7 Qb5 Ra1+ Rf1 Ra2 Qb3 Rd2 Qb8 Kg7 Qb3 Bd4+ Qe3 Bxe3+ Rf2 Bxf2+ Kh1 Bc5,Rated Bullet tournament https://lichess.org/tournament/echqh2Jm,1399,1578,-179,1,10.0,0
ebonyandivory,jamonyqueso,1788,1814,0-1,A58,"Benko Gambit Accepted, Fianchetto Variation",180+0,Normal,d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nf3 d6 g3 g6 Bg2 Bg7 Nc3 O-O O-O Nbd7 Re1 Qa5 Bd2 Rfb8 Ne4 Qb6 Nxf6+ Bxf6 Rb1 c4 Bc3 Bxc3 bxc3 Qa5 Rxb8+ Rxb8 Qc2 Qa3 Nd4 Rb2 Qe4 Kf8 Nc6 Ne5 Nxe5 dxe5 Qxe5 Qxa2 d6 exd6 Qxd6+ Kg8 Bd5 Bb7 Qb8+ Kg7 Qe5+ Kg8 Qe8+ Kg7 Qxf7+ Kh6 Qf8+ Kh5 Bf7 Rxe2 Rxe2 Qb1+ Re1 Qxe1#,Rated Blitz game,1788,1814,-26,1,6.0,0
Sunmachine,ACTGACTA,1406,1395,1-0,A04,Zukertort Opening: Dutch Variation,300+0,Normal,Nf3 f5 d4 d5 c4 c6 Nc3 e6 cxd5 cxd5 e3 Nc6 Bb5 a6 Ba4 Bd6 Bd2 g5 Bxc6+ bxc6 Ne5 Bxe5 dxe5 Bd7 Qh5+ Ke7 Qxg5+ Kf8 Qxd8+ Rxd8 Na4 Ne7 Nc5 Rg8 Nxd7+ Rxd7 g3 h5 Bb4 Rb7 Bd6 Rxb2 O-O Rg4 Rac1 Rb6 h3 Kf7 hxg4 hxg4 Bxe7 Kxe7 Kg2 Rb2 a3 Kd7 Rc3 Ra2 Rfc1 a5 Rh1 Kc7 Rh7+ Kb6 Re7 c5 Rxe6+ Kb5 Re8 d4 exd4 cxd4 Rb8+ Ka4 Rc4+ Kxa3 Rxd4 Rb2 Rxb2 Kxb2 e6 a4 e7 a3 Ra4 a2 Rxa2+ Kxa2 e8=Q Kb3 Qe5 f4 Qxf4 Ka2 Qxg4 Ka1 Qe4 Ka2 f4 Ka1 Qd3 Ka2 f5,Rated Blitz tournament https://lichess.org/tournament/summer15,1406,1395,11,1,10.0,2
eternalwarrior,chesstosterone,1596,1621,1-0,B06,Robatsch (Modern) Defense,300+0,Normal,e4 g6 d4 Bg7 Nf3 d6 Be3 Nf6 Bd3 O-O O-O Nc6 e5 d5 Nc3 Ng4 Bd2 f5 h3 Nf6 b4 c5 h6 Rc1 g5 Ne2 Ng6 b5 dxc5 Rxc5 Rc3 h5 Qc2 g4 Ne1 Nb6 Bb3 gxh3 Bxh3 Kxf1 Qh1+ Ng1 Qd1 Nh4 Bg5 Nxf3 Qxe1,Rated Blitz tournament https://lichess.org/tournament/summer15,1596,1621,-25,1,10.0,2
mabinogi,hbgb,1454,1612,1/2-1/2,D06,Queen's Gambit Refused: Marshall Defense,300+0,Normal,d4 d5 c4 Nf6 Nc3 Nc6 e3 Bf5 Bd3 Bg6 Nf3 e6 c5 b6 cxb6 axb6 O-O Bd6 Bb5 Qd7 Ne5 Bxe5 dxe5 Ne4 Nxe4 Bxe4 f3 Bg6 f4 O-O Bd2 Ra7 Qc1 Be4 Qxc6 Qe7 Qc1 Qh4 Rf2 Qg4 Qd1 Qg6 Bb4 Rc8 Rc1 c5 Bc3 c4 a3 h5 Bb4 h4 b3 h3 g3 Bd3 bxc4 Qe4 Rc3 Bxc4 Bxc4 dxc4 Qc2 Qd5 Rd2 Qb7 Rxc4 Raa8 Qd1 Rxc4 Rd8+ Rxd8 Qxd8+ Kh7 Qh4+ Kg8 Qd8+ Kh7 Qh4+ Kg8 Qd8+ Kh7,Rated Blitz game,1454,1612,-158,1,6.0,1
Seppo,urumi,2330,1713,1-0,B06,Modern Defense: Standard Defense,60+0,Normal,e4 g6 d4 Bg7 Nc3 d6 Be3 Nf6 f3 O-O g4 c6 Qd2 Qc7 h4 Nbd7 Bh6 e5 h5 gxh5 Qg5,Rated Bullet tournament https://lichess.org/tournament/gGowJPJ9,2330,1713,617,1,10.0,2
pixisox,pitter,1481,1420,0-1,B21,Sicilian Defense: McDonnell Attack,300+0,Normal,e4 c5 f4 Nc6 Nf3 e6 Bc4 d5 exd5 exd5 Bb3 c4 Ba4 Bd7 O-O a6 Bxc6 Bxc6 Re1+ Be7 d4 Nf6 Nc3 O-O Ng5 h6 Nf3 Re8 b3 b5 Ne5 Bb7 bxc4 bxc4 Rb1 Rb8 g4 a5 g5 hxg5 fxg5 Nh7 h4 Bb4 Qf3 Rxe5 dxe5 d4 e6 Bxf3 exf7+ Kxf7 Rf1 Bxc3 Bf4 Rxb1 Rxb1,Rated Blitz game,1481,1420,61,1,6.0,0
jegr,rokopg,1944,1506,1-0,C50,Italian Game,300+8,Normal,e4 e5 Nf3 Nc6 Bc4 d6 d4 exd4 Nxd4 Nge7 Nc3 Nxd4 Qxd4 Nc6 Qd3 Bg4 Qg3 Qd7 O-O O-O-O h3 Bh5 Bb5 a6 Ba4 b5 Bb3 Bg6 Be3 Re8 f3 Na5 Rfd1 Nxb3 axb3 Kb7 Nd5 c6 Nb4 f5 Nxa6 fxe4 Nc5+ Kc7,Rated Classical game,1944,1506,438,1,4.0,2
IM57,arequipatomas,1324,1333,1-0,A00,Gedult's Opening,120+0,Normal,f3 e5 g3 Nc6 e3 Bc5 Ne2 d6 Bg2 Nxf4 Qd7 Nxe6 fxe6 Qxc6 O-O-O Qe2 Nf6 d4 Bb4+ Bd2 Bxd2+ Qxd2 Ne4 Qd3 Nc3 Nxc3 bxc3 Rhf8 Kd2 Rxf1 Qxa2 Qb5 b6 Qxc4 dxc4+ Kxc4 Rf8 Rg1 Rf2 exd5+ Kxd5 Rxh2 Rf1 Rxc2 Rxc3 g4 Kc4 Rd7 Rf8+ Kb7 e4 a5 e5 e6 Re7 Kd5 Kd6 Rf7 Rxc7+ Kb8 e7 a2 e8=Q#,Rated Bullet game,1324,1333,-9,1,10.0,2
abhay101,Einstein314,1567,1762,0-1,E61,King's Indian Defense,60+0,Normal,d4 Nf6 c4 g6 Nc3 Bg7 Bg5 d6 Bxf6 Bxf6 Qc2 Nc6 Nf3 Nxd4 Nxd4 Bxd4 e3 Bg7 Bd3 O-O O-O Bd7 Rae1 c5 f4 Qc7 f5 e5 fxg6 fxg6 Bxg6 hxg6 Qxg6 Rxf1+ Rxf1 Be8 Qg3 Qd7 Ne4 Kh8 Qh4+ Kg8 Ng5 Bg6 Rf3 Rf8 Rg3 Qa4 Ne6 Qd1#,Rated Bullet tournament https://lichess.org/tournament/cCgRWiW2,1567,1762,-195,1,6.0,0
QuirkyAlpaca,Amlstreaming,2009,2143,1/2-1/2,B12,"Caro-Kann Defense: Advance Variation, Short Variation",300+0,Normal,e4 c6 d4 d5 e5 Bf5 Nf3 e6 Be2 Ne7 O-O Nd7 b3 h6 Bb2 c5 c4 dxc4 Bxc4 Bg4 Nbd2 cxd4 Bxd4 Nc6 h3 Bh5 Bc3 Be7 Qe2 O-O Rfd1 Qc7 g4 Bg6 Rac1 Rac8 Bb2 Rfd8 Ne4 Ndxe5 Rxd8+ Rxd8 Nxe5 Nxe5 Bxe6 Qa5 Bf5 Bxf5 gxf5 Nd3 Rd1 Nxb2 Rxd8+ Bxd8 Ng3 Bf6 Nh5 Qxf5 Nxf6+ Qxf6 Qe8+ Kh7 Qe4+ g6 Qxb7 Nd3 Qxa7 Qf3 Qe3 Qxe3 fxe3 Kg7 Kf1 Kf6 Ke2 Nc5 b4 Nb7 Kd3 Ke5 Kc4 Ke4 a4 Kxe3 a5 f5 a6 Nd8 a7 Nc6 a8=Q Ne5+ Kd5 Nd3 Qa7+ Ke2 Qg7 f4 Qxg6 f3 Qxh6 Nf4+ Qxf4 f2 Qxf2+ Kxf2 b5 Kg3 b6 Kh4 b7 Kg3 b8=Q+ Kg2 Qe5 Kf2 Kd4 Kg2 Qe4+ Kf2 Qe3+ Kg2 Ke4 Kh2 Qf3 Kg1 h4 Kh2 h5 Kg1 h6 Kh2 h7 Kg1 h8=Q,Rated Blitz tournament https://lichess.org/tournament/summer15,2009,2143,-134,1,6.0,1
dappertutto,AdVSc2,1675,1742,1-0,B22,"Sicilian Defense: Alapin Variation, Barmen Defense",300+0,Normal,e4 c5 c3 d5 exd5 Qxd5 Nf3 Nf6 d4 e6 Be2 Nc6 Qa4 Bd7 c4 Qe4 Nc3 Qg6 d5 exd5 cxd5 Nd4 Qd1 Nxe2 Qxe2+ Be7 d6 O-O dxe7 Rfe8 O-O Nh5 Re1 Bh3 Nh4 Qg4 Qe4 Nf6 Qxg4 Bxg4 Bg5 Rac8 Bxf6 gxf6 Nd5 Be6 Nxf6+,Rated Blitz game,1675,1742,-67,1,6.0,2
jortega,SturmPanzer,1643,1698,0-1,B40,Sicilian Defense: Paulsen-Basman Defense,60+0,Time forfeit,e4 c5 Nf3 e6 d4 cxd4 Nxd4 Bc5 Nb3 Qb6 Nxc5 Qxc5 Nc3 Qc7 Bd3 a6 O-O b5 f4 b4 Ne2 a5 Be3 Bb7 Kh1 Nf6 Ng3 O-O c3 d5 exd5 Bxd5 Rc1 Qb7 c4 Bxg2+ Kg1 Bxf1 Qxf1 Rd8 Bb1 Nc6 Qh3 g6 f5 exf5 Bg5 Ng4 Nxf5 gxf5 Bxf5 Qb6+ Kg2 Rd2+ Bxd2 Rd8 Be1 Ne3+ Kh1 Nxf5 Qxf5 Nd4 Qg5+ Kf8 Bh4 Rd7 Rf1 Ne2 Qg2 Nd4 Bg3 Qe6 c5 Nf5 c6 Qg6 cxd7 Nxg3+,Rated Bullet game,1643,1698,-55,1,6.0,0
lenierb,franzzi,1498,1729,0-1,B02,Alekhine Defense: John Tracy Gambit,300+0,Normal,e4 Nf6 Nf3 Nxe4 c3 d5 b4 Bg4 Be2 e6 O-O Be7 h3 Bh5 g4 Bg6 Ne5 Nd7 Nxg6 hxg6 Kg2 c5 d3 Ng5 Bxg5 Bxg5 bxc5 Nxc5 d4 Nd7 f4 Be7 Nd2 Bd6 a4 Qh4 Rh1 Bxf4 Nf3 Qg3+ Kf1 Rxh3 Rxh3 Qxh3+ Ke1 Qg3+ Kf1 Be3 Qe1 Qh3#,Rated Blitz tournament https://lichess.org/tournament/z80u9cGg,1498,1729,-231,1,6.0,0
peaopreto,ulko,1302,1295,1-0,C41,Philidor Defense #2,300+4,Normal,e4 e5 Nf3 d6 Bb5+ Bd7 Qe2 a6 Bxd7+ Qxd7 d4 exd4 Nxd4 Nc6 Nxc6 Qxc6 O-O O-O-O b3 h6 Bb2 f6 Qg4+ Kb8 c4 g5 Qf5 Bg7 Nc3 Ne7 Qg4 Rhg8 Nd5 Nxd5 exd5 Qc5 Bd4 Qb4 Qf5 Qd2 Bxf6 Bxf6 Qxf6 g4 Rfd1 Qg5 Qxg5 Rxg5 g3 h5 Rd4 Rf8 Rf1 Re5 Rd2 b6 Kg2 Ref5 Rd3 Kb7 f3 c6 f4 b5 dxc6+ Kxc6 cxb5+ axb5 h3 d5 hxg4 hxg4 Rd4 Re8 Rf2 Re4 Rxe4 dxe4 Re2 Kd5 b4 Kd4 a3 Kc4 Ra2 e3 a4 Kxb4 a5 Rf7 a6 Ra7 Kf1 Kb3 Ra5 b4 Ke2 Kb2 Kxe3 b3 Kd3 Kb1 Kc3 b2 Rb5 Rxa6 Rxb2+ Ka1 Rg2 Rc6+ Kd4 Kb1 Ke5 Kc1 Kf5 Rc8 Kxg4 Rg8+ Kf3 Rc8 g4 Rc3+ Ke4 Rc4+ Kd3 Rxf4 Kc3 Rf3+ Kd4 Rf4+ Kc3 Rf3+ Kd4 Kd1 g5 Ke1 g6 Kf1 Rg5 Rf4+ Ke5 Rf8 g7 Re8+ Kf6 Rg8 Kf7 Rxg7+ Rxg7 Ke2 Rg4 Kf3 Ra4 Ke3 Kf6 Kd3 Kf5 Kc3 Rh4 Kd3 Ke5 Ke3 Rh3+ Kd2 Kd4 Ke2 Kc3 Kf2 Rd3 Kg2 Kd2 Kf2 Rh3 Kg2 Re3 Kf2 Kd3 Kg2 Ke4 Kf2 Kf4 Kg2 Rg3+ Kf2 Ra3 Ke2 Kg3 Kd2 Kf2 Kc2 Ke2 Kb2 Rd3 Kc2 Ke3 Kb2 Kd4 Kc2 Kc4 Kb2 Rc3 Ka2 Kd3 Kb2 Kd2 Ka2 Kc2 Ka1 Ra3#,Rated Blitz game,1302,1295,7,1,6.0,2
zurka,zzzmortadelo,1571,1515,1-0,A00,Hungarian Opening: Catalan Formation,60+0,Time forfeit,g3 e6 Bg2 d5 b3 c6 Bb2 f5 e3 Nf6 d3 Bd6 Qd2 O-O c3 Nbd7 f3 Rf7 Ne2 Ng6 Nd2 e5 fxe4 fxe4 Nh5 Nxg3 Bxf4 exf4 Nxf4 Kb1 Rxg1 Re1 Rf2 dxe4 Nxe4 Nxe4 Rxe4 Rxc2 Qxe4+ Kc1 Kd2 Ke1 Re8+ Kf2 Bc1 Kg1 Rf3 Bf4,Rated Bullet game,1571,1515,56,1,10.0,2
Flicka,-Chi-,1500,1535,0-1,C42,Russian Game: Cochrane Gambit,300+0,Time forfeit,e4 e5 Nf3 Nf6 Nxe5 d6 Nxf7 Kxf7 Bc4+ Be6 Bd3 Nc6 Nc3 Ne5 Be2 Be7 d4 Ned7 Bf4 Rf8 O-O Kg8 Bf3 Nxe4 Nxe4 Rxf4 Ng5 Bxg5 d5 Bf7 b3 Ne5 Be2 Bf6 c4 Nf3+ Bxf3 Bxa1 Qd3 Bg6 Qe3 Qg5 Qe6+ Bf7 Qe3 Re8 Be4 Rexe4 Qh3 Rh4 Qc8+ Re8 g3 Rxc8 Re1 Rd4,Rated Blitz tournament https://lichess.org/tournament/summer15,1500,1535,-35,1,6.0,0
IMike25,MINTUPIEZZI,2163,2015,1-0,D10,Slav Defense #2,180+0,Normal,c4 c6 Nc3 d5 d4 Nf6 cxd5 cxd5 Nf3 Nc6 Bf4 e6 e3 Bd6 Bb5 Bxf4 exf4 Bd7 O-O O-O a3 Ne4 Rc1 Nxc3 Rxc3 Rc8 Re1 Na5 Bd3 Rxc3 bxc3 Qc7 Qc2 g6 Rb1 Rc8 Rc1 Qxf4 Ne5 Be8 g3 Qf6 Re1 Qd8 Re3 Qc7 Rf3 Nc6 Ng4 Nxd4 Nf6+ Kh8 cxd4 Qxc2 Bxc2 Rxc2 Nxe8 Kg8 Nd6 Rb2 Nxf7,Rated Blitz game,2163,2015,148,1,6.0,2
feliracing,mike81,1330,1202,0-1,D00,"Queen's Pawn Opening: Veresov Attack, Irish Gambit",120+0,Time forfeit,d4 d5 Nc3 c5 Nf3 cxd4 Qxd4 e6 Bg5 f6 Bh4 Nc6 Qd2 Bd6 e4 Nge7 exd5 exd5 Nxd5 Be6 Nxe7 Qxe7 Nd4 Nxd4 Qxd4 Be5 Qe3 Bxb2 Rb1 Qb4+ Ke2 Qc4+ Kf3 Qd5+ Qe4 Qxe4+ Kxe4 Be5 Rxb7 O-O Ba6 Bxa2 Ra1 Bf7 Rab1 Bg6+ Kf3 Bxc2 Rc1 Bg6 Rcc7 f5 Rd7 Bh5+ Ke3 Rae8 Kd2 Bf4+ Kc3 Rc8+ Kd4 Bb8 Be7 Rf7,Rated Bullet game,1330,1202,128,1,10.0,0
G-Bianchi,FeegLood,2508,2404,1-0,B00,St. George Defense,300+0,Normal,e4 a6 Nc3 b5 d4 Bb7 Bd3 Nf6 Nf3 b4 e5 bxc3 exf6 cxb2 Bxb2 gxf6 O-O h5 c4 d5 Nb4 Bf5 a5 Re1 Bxf6 Kxd7 Ne5+ Kc8 Qxh5 Qxf7 Qe8#,Rated Blitz tournament https://lichess.org/tournament/summer15,2508,2404,104,1,6.0,2
Pinewood,Arsen-Shahunts,1814,1718,1-0,D00,"Queen's Pawn Game: Veresov Attack, Shaviliuk Gambit",0+1,Time forfeit,d4 d5 Nc3 e5 e4 exd4 Qxd4 dxe4 Bb5+ Bd7 Bxd7+ Nxd7 Qe3 Be7 Bd2 Ngf6 O-O-O Kf8 Nge2 g6 h4 Kg7 h5 c6 hxg6 fxg6 Qh6+ Kf7 Nf4 Qf8 Qh2 g5 Rhe1,Rated Bullet game,1814,1718,96,1,6.0,2
Cliff_Walker,Gianlu67,1655,1596,1-0,B30,Sicilian Defense: Old Sicilian,300+0,Normal,e4 c5 Nf3 Nc6 g3 e6 Bg2 O-O Qc7 d3 Nf6 Bg5 Be7 Nbd2 d6 c3 O-O Qe2 b5 d4 Qd3 cxd4 cxd4 Qb6 Bxe7 Nxe7 Rac1 Nf5 Rc5 f6 Rfc1 Nh6 h3 fxe5 dxe5 Nf7 Nb3 Ng5 Qxh7#,Rated Blitz game,1655,1596,59,1,6.0,2
BastianB,Xinaxess2015,1654,1768,0-1,A50,Queen's Indian Accelerated,300+0,Time forfeit,d4 Nf6 c4 b6 Nc3 Bb7 d5 e5 e4 Bb4 Qc2 O-O Ne2 d6 a3 Bxc3+ Nxc3 Nbd7 Be2 a5 O-O Nc5 Be3 Nfd7 b4 axb4 axb4 Na6 f4 Nxb4 Qb3 Na6 fxe5 Nac5 Bxc5 Nxc5 Qc2 dxe5 Rxa8 Bxa8 Na4 Bb7 Nxc5 bxc5 Qb3 Bc8 Qb5 f5 exf5 Bxf5 Qxc5 e4 h3 Bg6 Rxf8+ Qxf8 Qxf8+ Kxf8 Kf2 Ke7 Ke3 Kd6 g4 Kc5 h4 h6 h5 Bh7 Bf1 Kd6 Kd4 Bg8 Bg2 c5+ Kxe4 Bf7 Bf1 Be8 Kf4 Bd7 Bd3 Ba4 Kf5 Be8 g5 hxg5 Kxg5 Bf7 h6 gxh6+ Kxh6 Be8 Kg5 Ba4 Kf6 Bb3 Kf5 Bd1 Ke4 Bh5 Ke3 Bf7 Kd2 Bh5 Kc3 Bf7 Be4 Bh5 Bd3 Kd7 Be4 Bf7 Bf5+ Kd6 Be6 Bxe6 dxe6 Kxe6 Kd3 Kd6 Ke3 Ke5 Kd3 Kf4 Kc3 Ke3,Rated Blitz game,1654,1768,-114,1,2.0,0
Money2,Daptomycin,1839,1681,1-0,D10,Slav Defense,780+7,Normal,d4 d5 c4 c6 e3 e6 Nc3 Bd6 Nf3 f5 Be2 Nd7 a3 Ngf6 b4 O-O O-O Ne4 Bb2 Ng5 Nxf3+ Bxf3 Kxh2 Qh4+ Kg1 g3 Rg6 Kg2 Nf6 Rh1 Qg5 Ne2 Ne4 Rh5 Qf6 Nf4 Bxg4 fxg4 Rc1 Re5 Nxh5 Qg6 fxe4 Rh1 Bd7 Rxg5 e5 Kg7 Rxg6+ Kf7 Kxg6 Kf7 Nxd5+ Kg7 Rh7+,Rated Classical game,1839,1681,158,1,6.0,2
uloseit99,polishtiger,1625,1628,1-0,A40,Horwitz Defense,180+3,Normal,d4 e6 a3 d5 Nf3 b6 Nc3 Bb7 Bg5 Be7 Qd2 Nf6 e3 Nbd7 Bb5 a6 Bxf6 Bxf6 Bd3 O-O O-O c5 h3 c4 Be2 g6 Nh2 Bg7 Bg4 Nf6 Bf3 Bc6 Ne2 Nd7 c3 f6 Nf4 Qe7 Qe2 e5 Nxd5 Bxd5 Bxd5+ Kh8 Bxa8,Rated Blitz game,1625,1628,-3,1,6.0,2
SrCoupeV4,darken,1852,1754,0-1,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,60+0,Time forfeit,e4 c5 Nf3 Nc6 Bb5 Nf6 O-O e6 Re1 d6 Nc3 Be7 Bxc6+ bxc6 d4 cxd4 Nxd4 Bd7 Qf3 O-O e5 Nd5 exd6 Bxd6 Nxd5 cxd5 Nb3 Rb8 Qg4 e5 Qg3 e4 Qe3 Be6 f3 Bc7 fxe4 Bb6 exd5 Bxe3+ Bxe3 Qxd5 Bxa7 Rbc8 c3 Bd7 Bf2 Bc6 Kf1 Rfe8 Rxe8+ Rxe8 Be3 Qxg2+ Ke1 Rxe3+,Rated Bullet game,1852,1754,98,1,6.0,0
CrunchKing,Sorq,2049,1998,0-1,A01,Nimzo-Larsen Attack: Classical Variation,60+0,Normal,b3 d5 Bb2 c5 h4 Nc6 h5 e5 h6 Nxh6 d4 cxd4 e3 Nf5 exd4 exd4 Bxd4 Nfxd4 Bd3 Be7 c3 Ne6 Nd2 Qd6 Ne2 Nf4 Nxf4 Qxf4 Qc2 Be6 O-O-O Rc8 Bxh7 Nb4 Qb1 Rxc3+ Kb2 Qf6 Ka3 Nd3+ Ka4 Qd4+ b4 Bd7+ Ka5 Qb6#,Rated Bullet game,2049,1998,51,1,10.0,0
dudumas,ButterCutter,1406,1362,1-0,C11,"French Defense: Steinitz Variation, Boleslavsky Variation",180+0,Time forfeit,e4 e6 d4 d5 Nc3 Nf6 e5 Nfd7 f4 c5 Nf3 Nc6 Be3 cxd4 Nxd4 f6 Bb5 fxe5 Nxc6 bxc6 Bxc6 Rb8 Bxd7+ Bxd7 Bxa7 Rxb2 fxe5 Qa5 Bd4 Bb4 Qd3 O-O O-O-O Qa3 Kd2 Qxc3+ Bxc3 Bxc3+ Qxc3 Rxa2 Rhf1 Rc8 Qd3 Rcxc2+ Qxc2 Rxc2+ Kxc2 Ba4+ Kc1 Bxd1 Rxd1 h6 Rf1 Kh7 Kd2 Kg6 Kd3 Kg5 Kd4 g6 Rf6 Kg4 Rxe6 g5 Rxh6 Kf4 e6 g4 e7 g3 Rh4+ Kf5 hxg3 Kf6 e8=N+ Kg5 Rf4 Kg6 Rf6+,Rated Blitz game,1406,1362,44,1,6.0,2
Ricardo_Fagner,Termenoil,1538,2035,0-1,B07,Pirc Defense #4,60+0,Normal,e4 d6 Nc3 Nf6 Nf3 c6 Qe2 Nbd7 e5 dxe5 Nxe5 Nxe5 Qxe5 e6 d4 Bd6 Qe2 Qc7 Bg5 O-O Bxf6 gxf6 Qg4+ Kh8 Ne4 f5 Qg5 Rg8 Qf6+ Rg7 Ng5 Be7 Nxf7+ Kg8 Nh6+ Kh8 Nf7+ Kg8 Nh6+ Kh8 Qxg7+ Kxg7 Nxf5+ exf5 O-O-O Bg5+ Kb1 Qa5 Bd3 Be6 h3 Qxa2#,Rated Bullet tournament https://lichess.org/tournament/echqh2Jm,1538,2035,-497,1,6.0,0
GabrielStr,RottenPawn,1409,1352,1-0,B07,Pirc Defense #4,300+0,Normal,e4 d6 Nf3 Nf6 Nc3 g6 d3 Bg7 Bg5 O-O Qd2 c6 Be2 e5 h3 d5 exd5 cxd5 O-O Bd7 Nxd5,Rated Blitz game,1409,1352,57,1,6.0,2
casparon,Yaiber,1532,1648,0-1,B20,Sicilian Defense: Bowdler Attack,600+5,Normal,e4 c5 Bc4 Nf6 e5 d5 Be2 Ng8 d4 e6 Be3 b6 dxc5 bxc5 c4 d4 Bf4 Ne7 Bg5 Nbc6 Bf3 Rb8 Bxc6+ Bd7 Bxd7+ Qxd7 Bxe7 Bxe7 b3 O-O Nf3 d3 Nbd2 a5 O-O a4 bxa4 Ra8 Rb1 Rxa4 Rb2 Rfa8 Qb1 R4a7 Ne1 Qd4 Rb8+ Bf8 Rxa8 Rxa8 Nef3 Qc3 Rc1 Qa3 Ng5 h6 Nge4 Be7 Nc3 Bg5 Nb5 Qxa2 Qxa2 Rxa2 Nc3 Rxd2 Ne4 Rc2 Rd1 d2 Nxd2 Bxd2 g3 Kh7 h4 Bc3 Rd7 Bxe5 Rxf7 Rxc4 Re7 Bf6 Rxe6 Rc1+ Kg2 c4 Rc6 c3 Kf3 c2 h5 Bd4 Ke2 Bb2 f4 Re1+ Kxe1 c1=Q+ Rxc1 Bxc1 Ke2 Kg8 Kf3 Kf7 Ke4 Ke6 g4 Bd2 f5+ Kf6 Kf3 Kg5 Ke2 Bc1 Kf3 Bb2 Kg3 Be5+ Kf3 Bf4 f6 gxf6 Kg2,Rated Classical game,1532,1648,-116,1,6.0,0
BigH,ova4511,2031,1985,1-0,D34,"Tarrasch Defense: Classical Variation, Advance Variation",300+0,Time forfeit,Nf3 Nf6 c4 e6 g3 c5 Bg2 Nc6 O-O Be7 Nc3 d5 cxd5 exd5 d4 O-O Bg5 c4 b3 cxb3 axb3 Ne4 Bxe7 Nxe7 Qd3 Nxc3 Qxc3 Bd7 Rfc1 Rc8 Qd2 a6 Ne5 Be6 Rxc8 Qxc8 Rc1 Qb8 Qb4 Ng6 Nxg6 hxg6 Rc5 Rd8 e3 Rd7 Qc3 Kh7 b4 Qd6 b5 axb5 Rxb5 Rc7 Qb2 Qd7 Rb6 Qa4 Bf3 Rc2 Qb1 Qc4 Kg2 Bf5 Qb5 Qa2 Qf1 Be4 Rxb7 Bd3 Qe1 Be4 Rxf7 Qc4 Bxe4 dxe4 Rf4,Rated Blitz game,2031,1985,46,1,10.0,2
